,RunId,iteration,Step,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,sheep_gain_from_food,grass,grass_regrowth_time,Wolves,Sheep,Grass
0,0,0,0,50,5,0.04,0.1,22,5,True,10,5,50,212
1,0,0,1,50,5,0.04,0.1,22,5,True,10,5,50,183
2,0,0,2,50,5,0.04,0.1,22,5,True,10,5,50,160
3,0,0,3,50,5,0.04,0.1,22,5,True,10,7,53,146
4,0,0,4,50,5,0.04,0.1,22,5,True,10,8,52,143
5,0,0,5,50,5,0.04,0.1,22,5,True,10,5,51,129
6,0,0,6,50,5,0.04,0.1,22,5,True,10,5,53,121
7,0,0,7,50,5,0.04,0.1,22,5,True,10,5,56,117
8,0,0,8,50,5,0.04,0.1,22,5,True,10,5,57,113
9,0,0,9,50,5,0.04,0.1,22,5,True,10,6,58,115
10,0,0,10,50,5,0.04,0.1,22,5,True,10,6,57,132
11,0,0,11,50,5,0.04,0.1,22,5,True,10,6,57,140
12,0,0,12,50,5,0.04,0.1,22,5,True,10,7,58,141
13,0,0,13,50,5,0.04,0.1,22,5,True,10,7,57,140
14,0,0,14,50,5,0.04,0.1,22,5,True,10,7,60,131
15,0,0,15,50,5,0.04,0.1,22,5,True,10,8,63,121
16,0,0,16,50,5,0.04,0.1,22,5,True,10,9,65,106
17,0,0,17,50,5,0.04,0.1,22,5,True,10,11,67,104
18,0,0,18,50,5,0.04,0.1,22,5,True,10,11,67,93
19,0,0,19,50,5,0.04,0.1,22,5,True,10,9,66,90
20,0,0,20,50,5,0.04,0.1,22,5,True,10,10,66,96
21,0,0,21,50,5,0.04,0.1,22,5,True,10,10,65,96
22,0,0,22,50,5,0.04,0.1,22,5,True,10,10,67,91
23,0,0,23,50,5,0.04,0.1,22,5,True,10,11,71,94
24,0,0,24,50,5,0.04,0.1,22,5,True,10,11,74,94
25,0,0,25,50,5,0.04,0.1,22,5,True,10,9,75,102
26,0,0,26,50,5,0.04,0.1,22,5,True,10,10,74,98
27,0,0,27,50,5,0.04,0.1,22,5,True,10,10,76,92
28,0,0,28,50,5,0.04,0.1,22,5,True,10,12,79,87
29,0,0,29,50,5,0.04,0.1,22,5,True,10,14,81,78
30,0,0,30,50,5,0.04,0.1,22,5,True,10,15,84,79
31,0,0,31,50,5,0.04,0.1,22,5,True,10,17,87,87
32,0,0,32,50,5,0.04,0.1,22,5,True,10,17,87,82
33,0,0,33,50,5,0.04,0.1,22,5,True,10,19,86,82
34,0,0,34,50,5,0.04,0.1,22,5,True,10,22,84,78
35,0,0,35,50,5,0.04,0.1,22,5,True,10,22,89,77
36,0,0,36,50,5,0.04,0.1,22,5,True,10,24,93,81
37,0,0,37,50,5,0.04,0.1,22,5,True,10,26,94,73
38,0,0,38,50,5,0.04,0.1,22,5,True,10,26,93,71
39,0,0,39,50,5,0.04,0.1,22,5,True,10,31,92,66
40,0,0,40,50,5,0.04,0.1,22,5,True,10,34,87,63
41,0,0,41,50,5,0.04,0.1,22,5,True,10,37,84,78
42,0,0,42,50,5,0.04,0.1,22,5,True,10,36,83,78
43,0,0,43,50,5,0.04,0.1,22,5,True,10,39,80,77
44,0,0,44,50,5,0.04,0.1,22,5,True,10,42,84,87
45,0,0,45,50,5,0.04,0.1,22,5,True,10,46,86,89
46,0,0,46,50,5,0.04,0.1,22,5,True,10,48,90,100
47,0,0,47,50,5,0.04,0.1,22,5,True,10,48,87,105
48,0,0,48,50,5,0.04,0.1,22,5,True,10,51,91,113
49,0,0,49,50,5,0.04,0.1,22,5,True,10,48,92,118
50,0,0,50,50,5,0.04,0.1,22,5,True,10,53,97,115
51,0,0,51,50,5,0.04,0.1,22,5,True,10,51,96,120
52,0,0,52,50,5,0.04,0.1,22,5,True,10,53,97,124
53,0,0,53,50,5,0.04,0.1,22,5,True,10,56,95,114
54,0,0,54,50,5,0.04,0.1,22,5,True,10,55,92,115
55,0,0,55,50,5,0.04,0.1,22,5,True,10,53,92,115
56,0,0,56,50,5,0.04,0.1,22,5,True,10,53,88,110
57,0,0,57,50,5,0.04,0.1,22,5,True,10,53,87,107
58,0,0,58,50,5,0.04,0.1,22,5,True,10,55,85,106
59,0,0,59,50,5,0.04,0.1,22,5,True,10,54,76,112
60,0,0,60,50,5,0.04,0.1,22,5,True,10,61,67,123
61,0,0,61,50,5,0.04,0.1,22,5,True,10,68,60,135
62,0,0,62,50,5,0.04,0.1,22,5,True,10,68,54,153
63,0,0,63,50,5,0.04,0.1,22,5,True,10,72,46,163
64,0,0,64,50,5,0.04,0.1,22,5,True,10,71,35,173
65,0,0,65,50,5,0.04,0.1,22,5,True,10,73,34,195
66,0,0,66,50,5,0.04,0.1,22,5,True,10,85,28,211
67,0,0,67,50,5,0.04,0.1,22,5,True,10,92,21,228
68,0,0,68,50,5,0.04,0.1,22,5,True,10,99,17,240
69,0,0,69,50,5,0.04,0.1,22,5,True,10,99,13,252
70,0,0,70,50,5,0.04,0.1,22,5,True,10,95,10,265
71,0,0,71,50,5,0.04,0.1,22,5,True,10,95,5,276
72,0,0,72,50,5,0.04,0.1,22,5,True,10,100,4,292
73,0,0,73,50,5,0.04,0.1,22,5,True,10,103,3,309
74,0,0,74,50,5,0.04,0.1,22,5,True,10,108,2,322
75,0,0,75,50,5,0.04,0.1,22,5,True,10,107,2,335
76,0,0,76,50,5,0.04,0.1,22,5,True,10,104,1,344
77,0,0,77,50,5,0.04,0.1,22,5,True,10,98,1,356
78,0,0,78,50,5,0.04,0.1,22,5,True,10,101,1,365
79,0,0,79,50,5,0.04,0.1,22,5,True,10,104,1,373
80,0,0,80,50,5,0.04,0.1,22,5,True,10,106,1,380
81,0,0,81,50,5,0.04,0.1,22,5,True,10,111,1,384
82,0,0,82,50,5,0.04,0.1,22,5,True,10,97,1,387
83,0,0,83,50,5,0.04,0.1,22,5,True,10,84,0,389
84,0,0,84,50,5,0.04,0.1,22,5,True,10,81,0,391
85,0,0,85,50,5,0.04,0.1,22,5,True,10,78,0,393
86,0,0,86,50,5,0.04,0.1,22,5,True,10,79,0,394
87,0,0,87,50,5,0.04,0.1,22,5,True,10,79,0,395
88,0,0,88,50,5,0.04,0.1,22,5,True,10,73,0,396
89,0,0,89,50,5,0.04,0.1,22,5,True,10,71,0,397
90,0,0,90,50,5,0.04,0.1,22,5,True,10,69,0,398
91,0,0,91,50,5,0.04,0.1,22,5,True,10,67,0,399
92,0,0,92,50,5,0.04,0.1,22,5,True,10,57,0,400
93,0,0,93,50,5,0.04,0.1,22,5,True,10,58,0,400
94,0,0,94,50,5,0.04,0.1,22,5,True,10,55,0,400
95,0,0,95,50,5,0.04,0.1,22,5,True,10,57,0,400
96,0,0,96,50,5,0.04,0.1,22,5,True,10,53,0,400
97,0,0,97,50,5,0.04,0.1,22,5,True,10,42,0,400
98,0,0,98,50,5,0.04,0.1,22,5,True,10,37,0,400
99,0,0,99,50,5,0.04,0.1,22,5,True,10,36,0,400
100,0,0,100,50,5,0.04,0.1,22,5,True,10,34,0,400
101,0,0,101,50,5,0.04,0.1,22,5,True,10,37,0,400
102,0,0,102,50,5,0.04,0.1,22,5,True,10,35,0,400
103,0,0,103,50,5,0.04,0.1,22,5,True,10,40,0,400
104,0,0,104,50,5,0.04,0.1,22,5,True,10,37,0,400
105,0,0,105,50,5,0.04,0.1,22,5,True,10,37,0,400
106,0,0,106,50,5,0.04,0.1,22,5,True,10,41,0,400
107,0,0,107,50,5,0.04,0.1,22,5,True,10,40,0,400
